Vigencia,Tipo,Componente Base,Componente Variable,Impuesto Especifico Resultante,Otro
16-11-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,4000",UTM/m3
09-11-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,3351","1,7351",UTM/m3
02-11-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1941","1,5941",UTM/m3
26-10-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
19-10-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,0354","1,3646",UTM/m3
12-10-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0098","1,4098",UTM/m3
05-10-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,0478","1,3522",UTM/m3
28-09-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,5999",,UTM/m3
21-09-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4087","0,9913",UTM/m3
14-09-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,0304","1,3696",UTM/m3
07-09-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,1406","1,2594",UTM/m3
31-08-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,2013","1,6013",UTM/m3
24-08-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
17-08-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4946","0,9054",UTM/m3
10-08-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,3970","1,0030",UTM/m3
03-08-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,1546","1,2454",UTM/m3
27-07-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4641","0,9359",UTM/m3
20-07-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,2323","1,1677",UTM/m3
13-07-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
06-07-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4372","1,8372",UTM/m3
29-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,3622","1,7622",UTM/m3
22-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,3440","1,7440",UTM/m3
15-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,6785","2,0785",UTM/m3
08-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,6486","2,0486",UTM/m3
01-06-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,5172","1,9172",UTM/m3
25-05-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4697","1,8697",UTM/m3
18-05-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4976","1,8976",UTM/m3
11-05-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,2308","1,6308",UTM/m3
04-05-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,3051","1,7051",UTM/m3
27-04-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1256","1,5256",UTM/m3
20-04-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1715","1,5715",UTM/m3
13-04-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1863","1,5863",UTM/m3
06-04-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4522","1,8522",UTM/m3
30-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,5063","1,9063",UTM/m3
23-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1145","1,5145",UTM/m3
16-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,0244","1,3756",UTM/m3
09-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
02-03-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,2322","1,1678",UTM/m3
23-02-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0158","1,4158",UTM/m3
16-02-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,0292","1,3708",UTM/m3
09-02-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4662","0,9338",UTM/m3
02-02-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4806","0,9194",UTM/m3
26-01-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
19-01-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,2826","1,6826",UTM/m3
12-01-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4910","1,8910",UTM/m3
05-01-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,6768","2,0768",UTM/m3
